date,dining_revenue,dining_orders,non_dining_revenue,non_dining_orders,ppc_spend,meta_spend,bank_holidays,brand_search_demand,kitchen_dining_searches,living_room_searches,bathroom_searches,general_homeware_searches
01/06/2023,212191,304,46005920,23328,0,0,0,1615740,1023389,1904000,948834,170166
01/07/2023,213504,256,53318022,31485,0,0,1,2012760,1187531,1851612,897450,150039
01/08/2023,188774,231,43363561,25047,4353,0,0,1686031,1152196,1691890,790538,163657
01/09/2023,273172,295,55730969,29943,0,0,0,1973731,1092194,2223684,1027920,153116
01/10/2023,323473,396,49153352,27963,0,0,0,2175936,1161713,2112197,917235,164114
01/11/2023,190792,183,41139189,21345,0,0,2,1803073,1152611,2153403,737170,127866
01/12/2023,218547,222,66022925,35454,0,0,1,2131844,1432374,2406460,1020637,176704
01/01/2024,152719,166,42376402,22121,0,0,0,1894995,1012543,1988442,843612,151625
01/02/2024,149237,154,38201076,20206,9202,1448,1,2136240,1225444,1979324,935065,157362
01/03/2024,179698,195,49079059,27921,13977,3382,1,1869237,1199026,1859867,908923,160618
01/04/2024,166925,195,38667150,20411,9023,3605,2,1723744,1053333,1727415,1080673,163360
01/05/2024,105654,121,30157506,17540,261,2612,0,1447939,937498,1406975,1052567,151998
01/06/2024,138620,171,37648120,21711,0,0,0,1657818,1045514,1512266,1038855,147669
01/07/2024,145642,197,50950785,29531,0,0,1,1783325,994741,1934168,1034949,166372
01/08/2024,161156,203,64235777,31557,0,0,0,1708187,1107878,1688199,1083060,170090
01/09/2024,218179,243,57373570,27535,0,0,0,2058097,1068408,2089302,936389,165360
01/10/2024,249474,270,60723996,27652,0,0,0,2115929,1202813,1986317,887229,166546
01/11/2024,152380,154,48734772,25373,0,0,2,1663044,1031679,1944117,860269,147495
01/12/2024,215905,210,81477033,41228,0,0,1,2078652,1078927,2124637,984896,202593
01/01/2025,174057,154,44725707,28900,0,0,0,1619564,1111467,1451319,763334,149772
01/02/2025,143092,139,44514132,24598,0,0,0,1766790,1037416,1504940,885300,156822
01/03/2025,177074,169,46136196,22080,0,0,2,1740033,972579,1696426,821313,107977
01/04/2025,169475,179,41727385,23564,0,0,2,1413092,812998,1618096,846725,134179
01/05/2025,162716,179,43838837,19505,0,0,0,1434406,747646,1477761,915395,115482
01/06/2025,204040,229,64344763,33294,23330,0,0,1614595,860429,1503650,931965,115028
01/07/2025,243312,332,89718870,41593,32187,0,1,1590045,883314,1458460,978438,133562
01/08/2025,272630,278,89925271,44065,23467,0,0,1792035,1043078,1862467,878310,138698
01/09/2025,267188,350,91844314,42251,26400,0,0,1960064,1003974,1687917,776508,122185
01/10/2025,254360,360,83792364,39810,27433,0,0,2099833,1003014,1873162,733097,114448
01/11/2025,208806,256,54667608,29647,22389,0,2,1695748,952353,1494005,580881,114099
