date,search_general,search_kitchen_dining,search_living_room,search_brand_demand
01/01/2023,359151.1,2315355.35,4061094.73,0
01/02/2023,289556.96,1875526.73,3100969.41,0
01/03/2023,276283.7,2052495.06,3377822.14,0
01/04/2023,251965.56,1923150.46,3158628.55,0
01/05/2023,221369.61,1711905.58,2827402.27,0
01/06/2023,207582.76,1475567.17,2439316.88,0
01/07/2023,267404.06,1832582.29,3119320.05,3110299.5
01/08/2023,268674.56,1828798.51,3168313.61,3099650.4
01/09/2023,262533.81,1774381.84,3101800.24,3091057.2
01/10/2023,280713.51,2051194.53,3567160.52,3706764.6
01/11/2023,263266.85,2129807.68,3782306.99,3989216
01/12/2023,234421.11,1811245.59,3316240.62,3386259.8
01/01/2024,309232,2205857.5,3942498.56,3730727
01/02/2024,271515.86,1949145.66,3257660.56,3242547
01/03/2024,281787.66,1925697.62,3175166.61,3289809.6
01/04/2024,274836.1,1846500.81,3047017.05,3062367
01/05/2024,262056.41,1689722.65,2830021.81,2885397.9
01/06/2024,260085.21,1604163.33,2708428.03,2719301.2
01/07/2024,277329.36,1642951.31,2840109.58,2836710.8
01/08/2024,291150.86,1702113.49,2978620.26,2921618.7
01/09/2024,291043.06,1740952.29,3095032.71,3058848.1
01/10/2024,310554.86,1869714.77,3217525.08,3371776.1
01/11/2024,284979.31,1929512.97,3398810.03,3702876.1
01/12/2024,264120.01,1690197.74,2993940.18,3201359.7
01/01/2025,331908.5,2026278.1,3556459.06,3479483.7
01/02/2025,256277.56,1711659.95,2793790.23,2900151.1
01/03/2025,251569.01,1775134.9,2826351.22,3023174
01/04/2025,207856.11,1593374.09,2612496.81,2791303.9
01/05/2025,206635.66,1565021.92,2595696.18,2720202.1
01/06/2025,193306.96,1439219.32,2370575.13,2454428.9
01/07/2025,201299.56,1505751.94,2516980.62,2645188.7
01/08/2025,223571.81,1619409.33,2739060.17,2847290.6
01/09/2025,237327.86,1708873.32,2868199.18,2999712.1
01/10/2025,218797.81,1797814.48,2953855.52,3280977.7
01/11/2025,204941.66,1796095.07,3068797.27,3440152.1
01/12/2025,175712.46,1496555.06,2556410.01,2838535.7
