date,dining_only_revenue,non_dining_revenue,ppc_spend,meta_spend
26/06/2023,9831.895,837250.4803,0,0
27/06/2023,4844.84,922577.5764,0,0
28/06/2023,8968.4412,936428.4833,0,0
29/06/2023,3606.36,848809.4491,0,0
30/06/2023,8325,944591.4594,0,0
01/07/2023,9586.9704,1869043.043,0,0
02/07/2023,12937.5,1772989.511,0,0
03/07/2023,5784.272,1097427.023,0,0
04/07/2023,4393.2,999542.6103,0,0
05/07/2023,3686.796,920798.9,0,0
06/07/2023,6375.98,1002599.182,0,0
07/07/2023,2498.5,1079167.305,0,0
08/07/2023,7684.5472,1990974.788,0,0
09/07/2023,7358.6352,2145843.366,0,0
10/07/2023,5680.35,1437047.918,0,0
11/07/2023,9094.5376,1233516.23,0,0
12/07/2023,4968.48,1105647.373,0,0
13/07/2023,8527.68,1195688.069,0,0
14/07/2023,5701.0944,1004298.936,0,0
15/07/2023,10074.9096,2069425.532,0,0
16/07/2023,11205.312,2099545.055,0,0
17/07/2023,10689.1512,1612600.343,0,0
18/07/2023,9005.0872,1408229.419,0,0
19/07/2023,2699.445,1012219.544,0,0
20/07/2023,3923.5,903111.824,0,0
21/07/2023,7072.372,973231.5881,0,0
22/07/2023,9743.0436,2334614.672,0,0
23/07/2023,9372.33,2450244.841,0,0
24/07/2023,5569.416,1444960.618,0,0
25/07/2023,4925.044,1548177.163,0,0
26/07/2023,4092.5955,1114649.239,0,0
27/07/2023,3889.44,1129861.405,0,0
28/07/2023,5123.44,1155546.677,0,0
29/07/2023,8756.8912,1975926.794,0,0
30/07/2023,8395.892,2386901.145,0,0
31/07/2023,9220.54,1280985.079,0,0
01/08/2023,5990.996,1345657.529,0,0
02/08/2023,4644.712,1331397.552,0,0
03/08/2023,5782.384,1116884.766,0,0
04/08/2023,3955.5096,1280856.559,0,0
05/08/2023,7352.488,2241205.969,0,0
06/08/2023,7373.645,2041693.253,0,0
07/08/2023,7948.5,1686280.503,0,0
08/08/2023,3829.98,1428809.516,0,0
09/08/2023,5047.94,1338471.046,0,0
10/08/2023,5406.15,1132332.946,0,0
11/08/2023,4107.36,1045118.234,0,0
12/08/2023,3247.856,1853076.656,0,0
13/08/2023,7397.712,2432615.59,0,0
14/08/2023,7968.69,1488919.16,0,0
15/08/2023,6409.298,1503763.601,0,0
16/08/2023,5474,1107833.969,0,0
17/08/2023,5469.32,1111060.16,0,0
18/08/2023,4995.888,1285537.016,0,0
19/08/2023,6100.256,2077108.533,0,0
20/08/2023,8465.94,1830935.328,0,0
21/08/2023,5714.672,1241341.429,0,0
22/08/2023,5064.2872,1264088.302,0,0
23/08/2023,7116.2136,1161865.668,0,0
24/08/2023,7024.392,1347870.049,0,0
25/08/2023,3750.4872,1268600.142,0,0
26/08/2023,8232.8,2607334.942,0,0
27/08/2023,16205.9355,2368553.259,0,0
28/08/2023,16072.065,3330393.742,0,0
29/08/2023,8965.768,1565515.137,0,0
30/08/2023,9602.4384,1593256.36,0,0
31/08/2023,6333.7736,1205369.944,0,0
01/09/2023,7610.42,1492614.41,0,0
02/09/2023,7372.9124,2078412.032,0,0
03/09/2023,10749.1696,2494677.657,0,0
04/09/2023,13016.64,1614143.486,0,0
05/09/2023,10568.124,1754414.234,0,0
06/09/2023,5680.178,828575.6676,0,0
07/09/2023,2916.35,844884.8516,0,0
08/09/2023,4125.8,785222.5208,0,0
09/09/2023,3239.2096,1389621.912,0,0
10/09/2023,6019.3056,1896930.784,0,0
11/09/2023,7540.8816,1226383.107,0,0
12/09/2023,6281.44,1052447.434,0,0
13/09/2023,3697.232,914234.596,266.469,0
14/09/2023,6254.4944,942019.6278,431.3856,0
15/09/2023,3495.15,1016809.525,520.8014,0
16/09/2023,4355.488,2128123.392,524.984,0
17/09/2023,11861.3264,2319087.862,420.0152,0
18/09/2023,6499.6564,1343929.503,336.582,0
19/09/2023,7486.73,1114869.316,397.7206,0
20/09/2023,8083.2,1123714.42,600.445,0
21/09/2023,8303.4336,1133534.97,509.7552,0
22/09/2023,5309.7432,1257029.836,290.3244,0
23/09/2023,9043.34,2307757.532,175.9338,0
24/09/2023,5788.0172,2468184.039,155.3376,0
25/09/2023,8350.1704,1844321.122,131.8251,0
26/09/2023,5121.12,1489883.703,15.6584,0
27/09/2023,4727.9704,1152421.954,0,0
28/09/2023,5274.8288,1435682.866,0,0
29/09/2023,6438.5496,1204479.228,0,0
30/09/2023,6425.6136,3033248.655,0,0
01/10/2023,12327.0892,3165013.519,0,0
02/10/2023,4839.984,1792796.132,0,0
03/10/2023,5719.864,1783632.131,0,0
04/10/2023,4432.2,1466119.548,0,0
05/10/2023,7596.986,1174569.956,0,0
06/10/2023,4334,1491357.524,0,0
07/10/2023,5874,2830324.294,0,0
08/10/2023,7950.7008,2640967.35,0,0
09/10/2023,6166.4328,1504251.595,0,0
10/10/2023,3730.8,1326023.655,0,0
11/10/2023,3730.86,1438801.535,0,0
12/10/2023,6171.9836,1290149.537,0,0
13/10/2023,5594.967,1575405.819,0,0
14/10/2023,8495.424,3323418.546,0,0
15/10/2023,7665.18,2843711.391,0,0
16/10/2023,9066.792,1853049.624,0,0
17/10/2023,4302.7004,1758425.993,0,0
18/10/2023,10215.912,1238655.39,0,0
19/10/2023,7442.3,1086376.379,0,0
20/10/2023,7009.3296,1293178.961,0,0
21/10/2023,10507.952,2601478.108,0,0
22/10/2023,11363.84,2594241.774,0,0
23/10/2023,5762.56,1753509.385,0,0
24/10/2023,11018.0284,1304459.133,0,0
25/10/2023,9003.9216,1200459.578,0,0
26/10/2023,10874.4524,1242505.238,0,0
27/10/2023,5874.1268,1220245.878,0,0
28/10/2023,9213.9626,2056830.844,0,0
29/10/2023,14622.4248,2743595.018,0,0
30/10/2023,10111.6176,1797077.717,0,0
31/10/2023,11857.0848,1518722.852,0,0
01/11/2023,7668,1235686.442,0,0
02/11/2023,10175.52444,1293291.313,0,0
03/11/2023,7642.8204,1537865.409,0,0
04/11/2023,16850.6345,2799825.71,0,0
05/11/2023,11346.342,3149481.026,0,0
06/11/2023,8607.5424,1815047.048,0,0
07/11/2023,9122.08,1542075.559,0,0
08/11/2023,9501.3552,1291980.788,0,0
09/11/2023,4856.754,1344351.477,0,0
10/11/2023,7387.968,1346382.53,0,0
