date,dining_revenue,non_dining_revenue,ppc_spend,meta_spend
26/06/2023,11593.67965,1252772.492,0,0
27/06/2023,5544.961387,1141303.582,0,0
28/06/2023,11814.85734,1125907.756,0,0
29/06/2023,5135.236994,1145528.845,0,0
30/06/2023,10693.64162,1245490.042,0,0
01/07/2023,13194.28902,2413895.726,0,0
02/07/2023,14807.08092,2529620.3,0,0
03/07/2023,8191.599075,1578389.948,0,0
04/07/2023,6285.069364,1433111.22,0,0
05/07/2023,4783.126474,1331923.184,0,0
06/07/2023,7518.496647,1285788.131,0,0
07/07/2023,2946.208092,1292628.376,0,0
08/07/2023,10297.21249,2420386.186,0,0
09/07/2023,10026.21642,2615206.259,0,0
10/07/2023,7223.566474,1684881.429,0,0
11/07/2023,11073.16717,1529202.706,0,0
12/07/2023,6592.439306,1443348.458,0,0
13/07/2023,10697.6185,1391320.649,0,0
14/07/2023,6796.824971,1434658.594,0,0
15/07/2023,13865.82659,3061593.26,0,0
16/07/2023,16030.72092,3130227.855,0,0
17/07/2023,14858.30266,1995335.422,0,0
18/07/2023,11185.75584,1856417.89,0,0
19/07/2023,3319.942197,1443822.317,0,0
20/07/2023,4445.121387,1359227.891,0,0
21/07/2023,8871.995376,1379053.067,0,0
22/07/2023,12102.41549,2892576.386,0,0
23/07/2023,11798.18035,2988645.467,0,0
24/07/2023,7297.115376,2007030.575,0,0
25/07/2023,7045.944451,1792637.896,0,0
26/07/2023,5133.990173,1523915.152,0,0
27/07/2023,4683.815029,1484461.186,0,0
28/07/2023,5982.282543,1343017.01,0,0
29/07/2023,11003.88439,2672129.063,0,0
30/07/2023,10119.26474,2865689.213,0,0
31/07/2023,10446.39214,1866925.26,0,0
01/08/2023,7515.454335,1653072.149,0,0
02/08/2023,5894.89711,1601412.341,0,0
03/08/2023,7411.449711,1594483.884,0,0
04/08/2023,5498.299884,1553341.409,0,0
05/08/2023,9755.665896,3089528.749,0,0
06/08/2023,10499.62139,2865664.632,0,0
07/08/2023,10829.91329,2095145.775,0,0
08/08/2023,5376.520231,1711899.701,0,0
09/08/2023,5777.411098,1643087.569,0,0
10/08/2023,6249.884393,1413318.805,0,0
11/08/2023,5410.959538,1572870.635,0,0
12/08/2023,4533.169942,2723936.022,0,0
13/08/2023,10476.52855,3204077.369,0,0
14/08/2023,10338.31329,2145560.519,0,0
15/08/2023,7409.593064,1841695.645,0,0
16/08/2023,8068.612717,1332580.498,0,0
17/08/2023,7745.568786,1443208.948,0,0
18/08/2023,7147.296416,1606037.267,0,0
19/08/2023,8815.398844,2589620.191,0,0
20/08/2023,9591.469595,2378011.555,0,0
21/08/2023,7252.850867,1780370.059,0,0
22/08/2023,5974.150289,1679572.347,0,0
23/08/2023,8751.953757,1559049.762,0,0
24/08/2023,8932.752832,1616604.202,0,0
25/08/2023,4704.829595,1806597.314,0,0
26/08/2023,11374.79769,3174390.56,0,0
27/08/2023,21233.21029,3428803.416,0,0
28/08/2023,20438.46416,4844387.347,0,0
29/08/2023,11041.03121,2328499.248,0,0
30/08/2023,11563.63006,2177999.529,0,0
31/08/2023,8154.359075,1752628.443,0,0
01/09/2023,10836.77457,1845002.682,0,0
02/09/2023,8523.59815,2992873.871,0,0
03/09/2023,13777.52324,2916813.285,0,0
04/09/2023,15988.6474,2396348.424,0,0
05/09/2023,15271.85549,2212822.019,0,0
06/09/2023,6633.686705,1019262.157,0,0
07/09/2023,3514.971098,1021420.151,0,0
08/09/2023,4818.381503,1117508.451,0,0
09/09/2023,4070.381503,1888373.249,0,0
10/09/2023,8367.050173,2421781.72,0,0
11/09/2023,10274.52902,1431863.164,0,0
12/09/2023,8612.809249,1399785.297,0,0
13/09/2023,4759.96763,1348252.474,634.45,0
14/09/2023,8052.291792,1303792.134,1052.16,0
15/09/2023,4534.491329,1442560.554,1062.86,0
16/09/2023,6168.176647,2707290.424,1312.46,0
17/09/2023,15582.40462,3010722.504,954.58,0
18/09/2023,8649.89896,1706083.949,731.7,0
19/09/2023,10164.80347,1560530.158,864.61,0
20/09/2023,9539.421965,1611522.287,1200.89,0
21/09/2023,10416.31075,1444981.319,1061.99,0
22/09/2023,7137.710983,1779870.985,631.14,0
23/09/2023,10350.18104,3324729.447,418.89,0
24/09/2023,6896.18659,3548308.601,353.04,0
25/09/2023,10269.54913,2105288.761,306.57,0
26/09/2023,6105.381503,1901689.406,34.04,0
27/09/2023,6228.540116,1595076.326,0,0
28/09/2023,6357.560231,1737082.304,0,0
29/09/2023,8949.814335,1713334.13,0,0
30/09/2023,8754.964855,3490476.563,0,0
01/10/2023,15490.18497,4266271.215,0,0
02/10/2023,7134.080462,2187531.2,0,0
03/10/2023,8183.042428,2111890.512,0,0
04/10/2023,5072.691329,1700863.29,0,0
05/10/2023,9436.669364,1681037.562,0,0
06/10/2023,5693.641618,1868284.028,0,0
07/10/2023,6654.936416,3479830.221,0,0
08/10/2023,9766.03422,3831766.238,0,0
09/10/2023,8867.561618,2081359.28,0,0
10/10/2023,5283.50289,1901944.177,0,0
11/10/2023,4542.554913,1687878.2,0,0
12/10/2023,7666.588902,1720758.562,0,0
13/10/2023,6666.175145,1900616.475,0,0
14/10/2023,11420.11561,3783876.153,0,0
15/10/2023,10510.12717,4132101.423,0,0
16/10/2023,12478.3815,2750869.243,0,0
17/10/2023,5783.976879,2468064.741,0,0
18/10/2023,12171.84277,1437704.497,0,0
19/10/2023,8689.853179,1456358.003,0,0
20/10/2023,9550.283931,1565594.815,0,0
21/10/2023,15184.90173,3234690.045,0,0
22/10/2023,14565.36416,3353581.85,0,0
23/10/2023,8493.946821,2087637.358,0,0
24/10/2023,15533.66474,1790584.742,0,0
25/10/2023,10852.10081,1738846.957,0,0
26/10/2023,12828.18497,1673147.903,0,0
27/10/2023,7896.393064,1746183.942,0,0
28/10/2023,12138.30266,2996894.329,0,0
29/10/2023,18741.98705,3265832.207,0,0
30/10/2023,13916.34682,2183513.023,0,0
31/10/2023,15421.06405,1770421.514,0,0
01/11/2023,11080.92486,1603056.785,0,0
02/11/2023,12514.48092,1733998.9,0,0
03/11/2023,9399.606936,1887964.837,0,0
04/11/2023,19878.06358,3409398.938,0,0
05/11/2023,13652.5526,3701994.842,0,0
06/11/2023,10797.80254,2193869.447,0,0
07/11/2023,10651.2148,1808078.143,0,0
08/11/2023,12178.16324,1604378.768,0,0
09/11/2023,6751.06185,1732066.31,0,0
10/11/2023,9376.536416,1864559.775,0,0
11/11/2023,16309.03538,3471838.319,0,0
12/11/2023,17185.59538,3544515.509,0,0
13/11/2023,14113.58879,2492873.402,0,0
14/11/2023,9144.199769,2079270.034,0,0
15/11/2023,14011.99075,1549038.23,0,0
16/11/2023,11654.19653,1433756.954,0,0
17/11/2023,8751.348208,1714491.613,0,0
18/11/2023,21234.06786,3407468.415,0,0
19/11/2023,17002.87538,3424521.641,0,0
20/11/2023,10059.39884,2039347.089,0,0
21/11/2023,12580.45491,1938644.074,0,0
22/11/2023,6543.273064,1432947.421,0,0
23/11/2023,12567.20231,1399078.34,0,0
24/11/2023,13308.41387,1990897.509,0,0
25/11/2023,13992.20671,2771762.769,0,0
26/11/2023,18136.9378,3043918.293,0,0
27/11/2023,11793.06358,2009775.254,0,0
28/11/2023,13113.36416,1696638.712,0,0
29/11/2023,13880.53873,1662360.173,0,0
30/11/2023,10342.09249,773121.4897,0,0
01/12/2023,7282.357803,780891.416,0,0
02/12/2023,7895.649017,1352543.853,0,0
03/12/2023,9146.774566,1429588.859,0,0
04/12/2023,7603.474682,878313.2797,0,0
05/12/2023,2238.863815,741553.5036,0,0
06/12/2023,4903.468208,650164.9318,0,0
07/12/2023,5809.686243,577127.492,0,0
08/12/2023,7429.02289,704936.0405,0,0
09/12/2023,5373.164393,1226224.449,0,0
10/12/2023,7261.26659,1279430.68,0,0
11/12/2023,7129.77052,803882.2661,0,0
12/12/2023,3103.158382,656117.6191,0,0
13/12/2023,6573.943353,674734.3283,0,0
14/12/2023,4784.532659,597382.2188,0,0
15/12/2023,4410.763006,588094.1808,0,0
16/12/2023,777.6763006,907052.9013,0,0
17/12/2023,3805.861734,883078.4377,0,0
18/12/2023,3530.259422,619737.9684,0,0
19/12/2023,712.9092486,520452.0116,0,0
20/12/2023,2036.521965,823476.1366,0,0
21/12/2023,7044.954451,926569.9422,0,0
22/12/2023,5615.329942,923037.7861,0,0
23/12/2023,4943.745665,461970.8474,0,0
24/12/2023,3174.294798,417364.8867,0,0
25/12/2023,1122.676301,371116.5318,0,0
26/12/2023,22893.20786,5544308.677,0,0
27/12/2023,21076.24231,5448153.385,0,0
28/12/2023,20878.39306,5559528.361,0,0
29/12/2023,15882.09526,5323397.281,0,0
30/12/2023,12694.57908,6023035.952,0,0
31/12/2023,12724.75052,4681324.992,0,0
01/01/2024,15236.20301,4327723.25,0,0
02/01/2024,11233.18497,4790478.309,0,0
03/01/2024,15331.00601,3948125.391,0,0
04/01/2024,15358.89017,2965184.336,0,0
05/01/2024,6771.017341,3047036.798,0,0
06/01/2024,12169.8578,5919251.855,0,0
07/01/2024,22079.23052,6061915.896,0,0
08/01/2024,16678.63584,3475399,0,0
09/01/2024,13883.63168,3338927.007,0,0
10/01/2024,11488.53121,3433629.655,0,0
11/01/2024,5932.217341,1503947.231,0,0
12/01/2024,5746.888324,1737698.956,0,0
13/01/2024,12487.29988,3912618.93,0,0
14/01/2024,12216.91329,3807519.32,0,0
15/01/2024,8628.237225,2315714.292,0,0
16/01/2024,4328.99422,2008313.517,0,0
17/01/2024,9374.052486,2008610.078,0,0
18/01/2024,1192.16185,1283586.179,0,0
19/01/2024,4006.104046,1376945.532,0,0
20/01/2024,9237.32948,3158329.8,0,0
21/01/2024,8036.30289,3251032.593,0,0
22/01/2024,5880.924855,1774698.014,0,0
23/01/2024,4568.786127,1564365.904,0,0
24/01/2024,5658.705202,1632056.301,0,0
25/01/2024,10383.15434,1222159.544,0,0
26/01/2024,9345.595376,1547527.745,0,0
27/01/2024,9781.387283,3257948.023,0,0
28/01/2024,7688.910058,3398665.565,0,0
29/01/2024,8771.136763,1887486.984,0,0
30/01/2024,4185.755607,1730783.793,0,0
31/01/2024,6386.49711,1821176.216,0,0
01/02/2024,7113.006936,1274881.639,0,0
02/02/2024,7750.578867,1413723.525,0,0
03/02/2024,12635.3526,3061638.945,0,0
04/02/2024,9892.915145,3236119.259,0,0
05/02/2024,6404.696069,1766719.149,0,0
06/02/2024,10884.29029,1700746.564,0,0
07/02/2024,7812.416185,1769739.815,0,0
08/02/2024,4672.456647,1111098.741,0,0
09/02/2024,8162.635838,1321703.071,0,0
10/02/2024,10826.91468,2576240.197,0,0
11/02/2024,11534.2659,2759174.21,0,0
12/02/2024,6174.158613,1697937.894,0,0
13/02/2024,10650.46751,1369229.869,0,0
14/02/2024,10817.07052,1404525.534,0,0
15/02/2024,3657.601156,1315087.027,0,0
16/02/2024,5100.667746,1399689.228,0,0
17/02/2024,7336.872832,2532201.522,0,0
18/02/2024,6261.486243,2836884.537,0,0
19/02/2024,3765.692486,1630727.591,0,0
20/02/2024,7675.871445,1468372.906,0,0
21/02/2024,7632.590983,1537663.884,0,0
22/02/2024,4704.566474,1343634.225,0,0
23/02/2024,1787.745665,1381293.672,0,0
24/02/2024,7512.531792,2810104.099,0,0
25/02/2024,9418.196532,3055647.15,0,0
26/02/2024,6407.387283,1888015.261,0,0
27/02/2024,5141.012254,1953388.675,0,0
28/02/2024,8799.073295,2241064.405,0,0
29/02/2024,4603.734104,1057817.253,0,0
01/03/2024,4472.840462,1038787.713,0,0
02/03/2024,13921.39145,2348823.514,0,0
03/03/2024,8653.641618,2461437.633,0,0
04/03/2024,9071.606936,1344561.795,0,0
05/03/2024,3639.884393,1152746.739,0,0
06/03/2024,4893.052023,1062464.78,0,0
07/03/2024,1894.855491,1028962.127,0,0
08/03/2024,10444.73988,1083645.287,0,0
09/03/2024,8112.565202,2142278.814,0,0
10/03/2024,6582.543353,1891425.514,0,0
11/03/2024,6450.338728,1306975.731,274.93,0
12/03/2024,3339.421965,1079771.104,387.49,0
13/03/2024,5883.16763,1235701.634,387.73,0
14/03/2024,1579.803468,1069146.261,688.91,0
15/03/2024,2533.526012,1247443.983,549.67,0
16/03/2024,9005.346821,2280331.272,712.08,0
17/03/2024,2122.16763,2458323.942,777.14,0
18/03/2024,9491.594682,1505852.353,528.95,0
19/03/2024,2534.404624,1226330.585,607.93,0
20/03/2024,4074.585202,1091195.04,859.41,0
21/03/2024,13483.42197,1129402.393,1246.59,224.24
22/03/2024,5346.751445,1214717.503,1218.88,305.84
23/03/2024,6106.936416,2478933.164,1439.46,324.81
24/03/2024,6935.138728,2423611.104,1212.42,333.76
25/03/2024,7361.271676,1423245.526,1369.67,292.35
26/03/2024,3454.508671,1339267.298,1499.51,310.89
27/03/2024,5244.416185,1426003.441,1499.99,311.17
28/03/2024,626.150289,1574020.562,1657.51,247.87
29/03/2024,9894.49711,3338588.902,1990.77,305.7
30/03/2024,7033.212486,3403275.199,1749.43,319.09
31/03/2024,8048.473988,1082051.098,1785.63,316.56
01/04/2024,18848.13873,5672909.491,1846.42,312.08
02/04/2024,10444.21734,2652869.815,1691.95,298.21
03/04/2024,7376.358382,2567232.422,1320.69,285.44
04/04/2024,8917.736879,1786708.895,931.47,293.86
05/04/2024,6120.716763,1756175.851,1033.39,291.25
06/04/2024,9458.147514,2965708.688,1919.7,298.64
07/04/2024,12400.77434,3087637.133,2010.31,280.03
08/04/2024,10363.52601,2181088.798,1137.3,175.34
09/04/2024,5954.878613,1948632.56,1076.77,271.41
10/04/2024,4912.508671,1313411.531,1059.17,249.91
11/04/2024,3333.209827,1409982.29,1110.72,258.99
12/04/2024,2896.306358,1465350.665,872.07,260.24
13/04/2024,11324.35838,2669167.682,1221.98,271.94
14/04/2024,11698.32694,2907188.003,1547.13,283.78
15/04/2024,6596.526012,2044925.722,876.15,298.79
16/04/2024,5256.312139,1905100.491,849.45,229.61
17/04/2024,5281.907514,982823.7919,647.95,242.08
